OBJECTID,GEOID20,pct9yEd,pctHSGrad,pctWhtClr,medFamInc,incomeDisp,medHomVal,medGrsRnt,medMthMor,pctHomOwn,pctUnemp,pctPoverty,pct1Parent,pctNoVhcl,pctNoPhone,pctNoPlumb,pctCrowded
1,5.3002E+11,1.649999976,96,46.75,72500,3.328880072,265400,,1480,80.08850098,2.839119911,5.076139927,9.545450211,1.32743001,0,0,3.097349882
2,5.3002E+11,0.409999996,97.81999969,39.52000046,57328,3.757869959,145800,865,1098,72.98660278,3.838769913,2.787460089,25,9.899330139,7.046979904,1.006710052,0
3,5.3002E+11,7.630000114,81.91999817,5,30000,4.953479767,80700,706,880,64.22019958,1.345289946,0,20.68969917,13.76150036,1.376150012,1.834859967,0.917430997
4,5.3002E+11,0,91.69000244,7.670000076,64018,4.936530113,89400,888,1026,70.19609833,5.43806982,0,22.6086998,5.490200043,0,0,0
5,5.3002E+11,3.730000019,59.70000076,14.77000046,65132,3.506560087,154800,857,1375,48.07690048,1.27876997,1.574800014,23.25580025,0,3.846149921,4.487180233,19.87179947
6,5.3002E+11,5.099999905,89.01999664,57.13999939,56750,4.268700123,80000,721,1167,67.97389984,7.751939774,7.964600086,20.28989983,1.960780025,3.267970085,0.653594971,0.653594971
7,5.3002E+11,38.83000183,50.88000107,13.98999977,48083,3.431900024,270800,964,1625,65.5535965,5.140960217,4.988659859,44.27349854,1.757470012,6.678380013,0,14.58699989
8,5.3002E+11,43.22999954,43.72999954,10.13000011,47663,4.583429813,108300,771,1264,54.44889832,10.22729969,21.83539963,31.46850014,10.62419987,1.328019977,8.366530418,17.7954998
9,5.3002E+11,31.19000053,64.95999908,21.70000076,,2.973750114,,,2218,96.17019653,10.06060028,6.818180084,86.09870148,0,0,0,20.63829994
10,5.3002E+11,18.01000023,74.12999725,14.47999954,54029,,230600,,1625,66.98110199,0,0,3.589740038,0,0,0,4.245279789
11,5.3002E+11,33.38999939,65.73999786,26.68000031,46042,3.27293992,223700,645,1596,53.14289856,5.144030094,0,48.24280167,19.42860031,7.428569794,0,6.857140064
12,5.3002E+11,18.73999977,76.04000092,36.47000122,75750,3.829329967,174400,971,1295,43.48619843,5.947440147,2.116400003,43.24010086,10.82569981,0.366971999,0,9.724769592
13,5.3002E+11,15.89000034,79.65000153,34.75,77279,5.085760117,222800,752,1366,71.2220993,12.69349957,6.48567009,42.17350006,7.621550083,0,0,6.438899994
14,5.3002E+11,33.54999924,56.84999847,10.75,44085,3.392149925,181800,840,1887,42.6629982,9.45320034,22.18490028,39.68249893,3.125,0,0,28.6685009
15,5.3002E+11,65.23999786,9.630000114,0,,4.342810154,,1171,,38.60760117,0,0,63.83649826,0,0,0,17.08860016
16,5.3004E+11,1.629999995,89.47000122,40.56000137,59231,5.241159916,248900,784,1911,85.61640167,0.694444001,3.04053998,17.83779907,5.936069965,0.684931993,0,0
17,5.3004E+11,0.810000002,90.05999756,32.49000168,66413,,272500,792,2207,83.64779663,3.146850109,0,19.40299988,5.031449795,0,0,0
18,5.3004E+11,0.689999998,94.44000244,56.13999939,87171,3.014080048,327200,840,1741,94.19049835,8.671070099,0,27.14290047,0.952381015,0.857142985,0,1.047620058
19,5.3004E+11,0,96.34999847,31.88999939,94609,5.239480019,247800,,1500,91.68280029,5.597579956,0,6.306310177,0,0,0,0
20,5.3004E+11,2.230000019,95.38999939,47.88999939,70192,,188900,,1306,93.26429749,0,0,78.125,0,0,0,0
21,5.3004E+11,0,89.83999634,43.86000061,91579,,288200,,2104,100,0,0,,0,0,0,0
22,5.3004E+11,0.219999999,90.76999664,33.29000092,62917,,248000,1109,1856,55.50120163,0,7.422679901,7.606259823,0,0,0,6.723720074
23,5.3004E+11,1.529999971,91.94000244,29.30999947,34402,3.506560087,147300,994,1278,43.12269974,21.08839989,0,27.8689003,7.063199997,0,0,0
24,5.3004E+11,1.269999981,78.48000336,6.650000095,38125,2.152009964,140300,704,1212,58.98199844,10.76920033,5.21739006,58.75,5.988019943,0,0,3.592809916
25,5.3004E+11,0,86.16999817,24.94000053,50500,4.626679897,154700,668,1085,51.79859924,6.097559929,0,58.97439957,0,3.597120047,3.237410069,3.956830025
26,5.3004E+11,0.639999986,99.36000061,28.72999954,59886,,187000,796,1190,68.66359711,1.433689952,0,13.56589985,0.921658993,0,0,0
27,5.3004E+11,0,84.87999725,15.25,41288,3.45559001,168900,1078,984,69.20349884,10.22529984,5.181350231,34.68629837,5.486730099,0,0,7.079649925
28,5.3004E+11,4.489999771,89.22000122,29.70999908,43295,3.433530092,247400,735,1595,71.14089966,11.0848999,2.764980078,48,2.684560061,0,0,0
29,5.3004E+11,0,97,7.210000038,39583,2.946939945,152100,693,1112,62.5,26.65200043,8.633090019,0,0,0,0,10.47299957
30,5.3004E+11,0,84.26000214,19.89999962,53427,3.40647006,175000,844,1011,52.69839859,4.73815012,0,30.28170013,0,1.587299943,0,4.444439888
31,5.3004E+11,0.49000001,95.08999634,29.32999992,45391,2.923409939,168600,760,1188,54.56309891,0,0,36.50790024,5.242720127,0,0,0
32,5.3004E+11,0,100,22.44000053,80714,3.782809973,183100,1038,1213,38.26819992,0,0,37.10689926,10.33520031,0,0,0
